status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"DEPRESSÃO NÃO É FRAQUEZA";"DEPRESSÃO NÃO É FRAQUEZA";;"Vencendo A Depressão Pela Fé";;"William Vicente Borges";"Clube de Autores";;2015;54;"Google Books";https://play.google.com/store/books/details?id=6UyKEAAAQBAJ&source=gbs_api;0.4288;"DEPRESSÃO NÃO É FRAQUEZA"
sem-match-forte;"DESOBSESSÃO (NOVO PROJETO)";"DESOBSESSÃO (NOVO PROJETO)";;"Empreendedorismo Reurbanizador";"De Hércules Galló e Waldo Vieira";"Isabel Manfroi";Editares;9786586544244;2020;177;"Google Books";https://play.google.com/store/books/details?id=H94GEAAAQBAJ&source=gbs_api;0.1853;"DESOBSESSÃO (NOVO PROJETO)"
sem-match-forte;"DEVASSANDO A MEDIUNIDADE";"DEVASSANDO A MEDIUNIDADE";;"Devassando o invisível";;"Yvonne do Amaral Pereira";"FEB Editora";9788573289404;2021;212;"Google Books";https://play.google.com/store/books/details?id=61AmDwAAQBAJ&source=gbs_api;0.4771;"DEVASSANDO A MEDIUNIDADE"
sem-match-forte;"DIÁRIO DE UM FANTASMA 2";"DIÁRIO DE UM FANTASMA 2";;"Diario de las sesiones ... 1838 (-1921/2).";;"Spain cortes, congreso de los diputados";;;1881;938;"Google Books";https://play.google.com/store/books/details?id=gpcNAAAAQAAJ&source=gbs_api;0.5326;"DIÁRIO DE UM FANTASMA 2"
sem-match-forte;"EGOS EM CONFLITO";"EGOS EM CONFLITO";;"Desventuras das Nações mais favorecidas";"egos em conflito, ambições desmedidas e as grandes confusões do Sistema Multilateral de Comércio";"Paul Blustein";;9788576312987;2011;499;"Google Books";http://books.google.com.br/books?id=qxFiMwEACAAJ&dq=intitle:%22EGOS+EM+CONFLITO%22&hl=&as_pt=BOOKS&source=gbs_api;0.5114;"intitle:""EGOS EM CONFLITO"""
sem-match-forte;"EGOS EM PAZ";"EGOS EM PAZ";;"The Collected Poems of Octavio Paz, 1957-1987";;"Octavio Paz";"New Directions Publishing";9780811211734;1991;692;"Google Books";http://books.google.com.br/books?id=Q9FIe1MmGVoC&dq=EGOS+EM+PAZ&hl=&as_pt=BOOKS&source=gbs_api;0.3070;"EGOS EM PAZ"
sem-match-forte;"EM BUSCA DA VERDADE 1ª EDIÇÃO";"EM BUSCA DA VERDADE 1ª EDIÇÃO";;"Mensagens Escolhidas, Vol.1 (Edição Atualizada)";;"Ellen G. White";"Casa Publicadora Brasileira";9788534536035;;354;"Google Books";https://play.google.com/store/books/details?id=D3VmEQAAQBAJ&source=gbs_api;0.3521;"EM BUSCA DA VERDADE 1ª EDIÇÃO"
sem-match-forte;"EM BUSCA DA VERDADE 4ª EDIÇÃO";"EM BUSCA DA VERDADE 4ª EDIÇÃO";;"I Encontro de Crítica Textual";"o manuscrito moderno e as edições";;;;1986;332;"Google Books";http://books.google.com.br/books?id=_zstAAAAYAAJ&dq=EM+BUSCA+DA+VERDADE+4%C2%AA+EDI%C3%87%C3%83O&hl=&as_pt=BOOKS&source=gbs_api;0.2426;"EM BUSCA DA VERDADE 4ª EDIÇÃO"
sem-match-forte;"ENTREGA-TE A DEUS";"ENTREGA-TE A DEUS";;"A Minha Fã N.o 1";;"Tessa Bailey";"Infinito Particular";9789895774593;2025;374;"Google Books";https://play.google.com/store/books/details?id=Kg52EQAAQBAJ&source=gbs_api;0.2453;"ENTREGA-TE A DEUS"
sem-match-forte;"EQUILÍBRIO EXISTENCIAL";"EQUILÍBRIO EXISTENCIAL";;"Introducción a los conceptos de equilibrio en economía";;;"Univ. Nacional de Colombia";9789588051529;1999;366;"Google Books";http://books.google.com.br/books?id=kL00OyFG0JMC&dq=EQUIL%C3%8DBRIO+EXISTENCIAL&hl=&as_pt=BOOKS&source=gbs_api;0.4511;"EQUILÍBRIO EXISTENCIAL"
